Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Beverly - Beverly Public Library,2016,"40,664","399,305","$1,940,574 ",79,"1,486",50,"1,176",414,"10,322",543,"12,984","36,025","31,940","211,724",31,"54,600"
Fitchburg - Fitchburg Public Library,2016,"40,383","118,007","$731,892 ",91,749,26,183,401,"6,227",518,"7,159","15,662","23,545",,22,"31,200"
Holyoke - Holyoke Public Library,2016,"40,249","78,012","$609,835 ",19,388,2,11,409,"6,310",430,"6,709","7,766","16,368","113,069",46,"36,452"
Marlborough - Marlborough Public Library,2016,"39,414","234,911","$941,382 ",139,"1,428",116,499,263,"4,726",518,"6,653","26,809","17,907",,18,"30,784"
Woburn - Woburn Public Library,2016,"39,083","182,036","$1,112,998 ",38,"1,626",0,0,130,"6,023",168,"7,649","24,419","28,268","122,997",6,"15,704"
Amherst - Jones Library,2016,"38,919","480,849","$1,833,246 ",239,"6,883",80,"2,828",338,"4,884",657,"14,595",611,241,"305,629",36,"37,544"
Chelsea - Chelsea Public Library,2016,"37,670","71,930","$300,712 ",10,85,3,85,125,"5,777",138,"5,947","12,962","8,146",,18,"23,400"
Braintree - Thayer Public Library,2016,"36,727","352,638","$1,496,378 ",231,"4,133",93,"1,252",175,"4,887",499,"10,272","70,403","66,083","409,940",25,"23,920"
Shrewsbury - Shrewsbury Free Public Library,2016,"36,309","355,912","$1,154,998 ",304,"2,001",52,597,236,"4,990",592,"7,588","37,303","18,884","168,703",13,"9,620"
Natick - Morse Institute Library,2016,"35,214","507,185","$2,204,790 ",436,"6,888",70,822,256,"7,325",762,"15,035","63,892","74,677","303,537",22,"25,324"
Natick - Bacon Free Library,2016,"35,214","35,602","$155,964 ",220,"2,922",,,430,"5,475",650,"8,397","6,364","7,349","30,933",1,"1,560"
Chelmsford - Chelmsford Public Library,2016,"34,722","453,489","$1,860,752 ",477,"7,012",55,173,419,"14,845",951,"22,030","91,715","51,259","279,749",47,"56,056"
Dartmouth - Dartmouth Public Libraries,2016,"34,557","313,871","$1,189,147 ",23,696,7,37,145,"4,951",175,"5,684","39,900","56,560","158,388",20,"15,912"
Andover - Memorial Hall Library,2016,"34,477","527,719","$2,686,212 ",286,"8,185",216,"1,807",788,"22,222","1,290","32,214","101,960","84,995","353,600",45,"47,060"
Randolph - Turner Free Library,2016,"33,456","171,966","$941,924 ",230,"1,709",143,"1,944",354,"3,497",727,"7,150","13,438","33,189","176,842",19,"38,272"
Watertown - Watertown Free Public Library,2016,"32,996","646,595","$2,600,854 ",271,"5,465",199,"2,169",506,"17,327",976,"24,961","70,094","57,988","411,100",123,"71,084"
Lexington - Cary Memorial Library,2016,"32,650","853,788","$2,437,521 ",35,"1,566",74,"2,337",507,"16,700",616,"20,603","102,073","62,915","542,025",21,"31,928"
Franklin - Franklin Public Library,2016,"32,581","246,646","$690,996 ",29,549,38,509,309,"10,032",376,"11,090","35,696","37,893","213,571",13,"18,200"
Falmouth - Woods Hole Public Library,2016,"31,644","24,993","$19,313 ",138,"3,288",10,70,95,"2,300",243,"5,658","5,100","7,819",,2,"1,560"
Falmouth - Falmouth Public Library,2016,"31,644","418,931","$1,808,834 ",306,"5,437",33,355,407,"9,748",746,"15,540","56,416","35,317","353,310",52,"31,824"
"Falmouth - West Falmouth Library, Inc.",2016,"31,644","26,080","$19,313 ",215,"2,749",1,17,176,"3,368",392,"6,134","6,597","6,597","11,141",4,"1,092"
Dracut - Moses Greeley Parker Memorial Library,2016,"30,687","199,886","$793,763 ",144,"1,918",40,363,219,"4,510",403,"6,791","26,589","26,869","211,522",18,"17,680"
Tewksbury - Tewksbury Public Library,2016,"30,107","218,615","$1,041,446 ",277,"7,742",143,"2,749",382,"12,544",802,"23,035","29,372","26,998","138,248",26,"15,548"
Needham - Needham Free Public Library,2016,"29,736","515,524","$1,578,602 ",69,"4,989",122,"1,588",379,"14,311",570,"20,888","66,390","61,613","343,858",29,"39,000"
Gloucester - Gloucester Lyceum & Sawyer Free Library,2016,"29,393","163,445","$864,830 ",76,"1,813",20,168,373,"7,354",469,"9,335","19,642","16,084","160,419",28,"22,412"
North Andover - Stevens Memorial Library,2016,"29,217","189,186","$974,850 ",140,"1,501",9,480,271,"5,094",420,"7,075","37,837","19,140","185,589",27,"27,040"
Wellesley - Wellesley Free Library,2016,"29,090","739,316","$2,351,898 ",559,"6,929",75,"1,098",570,"23,290","1,204","31,317","57,309","124,410","335,190",103,"99,216"
Norwood - Morrill Memorial Library,2016,"28,951","265,878","$1,628,169 ",224,"4,126",8,102,259,"5,902",491,"10,130","36,324","38,103","154,148",15,"24,232"
North Attleborough - Richards Memorial Library,2016,"28,801","94,215","$553,396 ",76,801,0,0,155,"2,436",231,"3,237","29,508","14,619","80,339",6,"14,092"
Agawam - Agawam Public Library,2016,"28,705","264,311","$1,050,854 ",120,"1,560",38,326,245,"5,179",403,"7,065","25,774","26,561","167,342",25,"23,400"
West Springfield - West Springfield Public Library,2016,"28,684","139,444","$852,658 ",83,605,43,878,238,"6,906",364,"8,389","13,573","15,905","104,544",46,"35,100"
Northampton - Forbes Library,2016,"28,495","321,965","$1,197,638 ",670,"11,079",43,283,"1,126","19,523","1,839","30,885","38,693","30,649","235,462",28,"33,592"
Northampton - Lilly Library,2016,"28,495","135,125","$296,197 ",35,235,51,136,150,"2,482",236,"2,853","26,175","6,846","76,128",10,
Milford - Milford Town Library,2016,"28,288","175,636","$1,160,485 ",159,"1,922",353,"3,347",187,"5,405",699,"10,674","18,870","31,181","170,658",18,"19,812"
Stoughton - Stoughton Public Library,2016,"28,106","148,425","$1,061,668 ",356,"2,322",126,"1,765",299,"10,299",781,"14,386","18,623","27,969","150,537",14,"14,664"
Saugus - Saugus Public Library,2016,"27,735","105,839","$609,317 ",25,208,8,129,523,"10,494",556,"10,831","11,523","15,298","97,981",16,"12,688"
Melrose - Melrose Public Library,2016,"27,690","293,285","$950,775 ",108,"1,598",30,214,208,"10,472",346,"12,284","36,643","13,872","189,030",27,"30,576"
Danvers - Peabody Institute Library,2016,"27,483","196,444","$1,329,335 ",117,"1,798",20,795,161,"8,921",298,"11,514","21,562","23,705",,21,"23,192"
Milton - Milton Public Library,2016,"27,270","294,670","$1,380,529 ",82,"1,999",38,469,414,"13,483",534,"15,951","34,011","43,829","242,269",30,"36,088"
Bridgewater - Bridgewater Public Library,2016,"26,506","108,159","$543,116 ",44,"1,137",0,0,187,"3,601",231,"4,738","28,682","25,943","70,305",10,"9,672"
Wakefield - Lucius Beebe Memorial Library,2016,"26,080","313,430","$1,460,674 ",232,"3,664",192,"2,920",353,"13,364",777,"19,948","22,187","21,572","275,317",26,"50,388"
Marshfield - Ventress Memorial Library,2016,"25,509","192,015","$694,991 ",251,"3,020",30,229,250,"4,063",531,"7,312","18,409","13,424",,12,"22,464"
Burlington - Burlington Public Library,2016,"25,463","277,987","$1,404,749 ",80,"1,337",78,476,313,"7,765",471,"9,578","34,909","37,507","148,694",15,"25,740"
Belmont - Belmont Public Library,2016,"25,332","556,562","$2,142,464 ",139,"2,517",75,"1,819",336,"12,890",550,"17,226","65,449","49,787","259,539",18,"21,528"
Reading - Reading Public Library,2016,"25,327","380,187","$1,442,435 ",115,"2,565",50,"1,652",303,"9,427",468,"13,644","28,953","27,343",,17,"9,672"
Dedham - Dedham Public Library,2016,"25,299","137,233","$1,123,270 ",141,"1,133",16,82,167,"2,664",324,"3,879","23,817","24,878","110,568",14,"12,428"
Walpole - Walpole Public Library,2016,"24,818","221,762","$790,720 ",37,"1,922",11,46,123,"3,198",171,"5,166","12,169","13,507","153,851",16,"18,876"
"Easton - Ames Free Library of Easton, Inc.",2016,"23,753","155,098","$520,981 ",699,"5,097",137,"1,036",275,"7,395","1,111","13,528","31,340","16,665","117,017",31,"14,820"
Yarmouth - Yarmouth Town Libraries,2016,"23,651","139,017","$719,147 ",139,"2,478",13,66,207,"3,172",359,"5,716","36,401","15,050","120,424",15,"29,276"
Middleborough - Middleborough Public Library,2016,"23,601","143,432","$638,974 ",60,"1,004",3,285,284,"9,829",347,"11,118","34,016","28,431","88,435",21,"16,224"
Mansfield - Mansfield Public Library,2016,"23,566","182,579","$861,149 ",51,700,30,103,298,"8,154",379,"8,957","31,756","30,654",,10,"9,620"
Westford - J. V. Fletcher Library,2016,"23,265","315,933","$1,548,517 ",109,"2,028",107,"2,574",210,"10,623",426,"15,225","49,755","28,360","279,357",15,"63,388"
Wilmington - Wilmington Memorial Library,2016,"23,147","200,917","$1,044,366 ",365,"4,200",80,"1,257",439,"15,184",884,"20,641","31,197","19,814","141,302",18,"13,364"
Acton - West Acton Citizens' Library,2016,"22,891",0,"$57,204 ",,,,,80,700,80,700,,,,2,936
Acton - Acton Memorial Library,2016,"22,891","509,578","$1,331,573 ",109,946,0,0,234,"6,726",343,"7,672","52,354","57,118","240,977",14,"21,216"
Hingham - Hingham Public Library,2016,"22,740","350,625","$1,616,834 ",393,"9,008",50,266,317,"7,876",760,"17,150","34,821","49,514","247,034",20,"36,920"
Wareham - Wareham Free Library,2016,"22,384","80,335","$185,748 ",53,,10,,128,,191,,"5,067","2,273","43,200",15,"6,656"
Canton - Canton Public Library,2016,"22,221","246,402","$1,226,967 ",132,"2,767",23,140,174,"3,758",329,"6,665","19,675","18,416","144,231",32,"17,524"
Winchester - Winchester Public Library,2016,"22,079","496,466","$1,839,933 ",208,"2,951",0,0,589,"11,427",797,"14,378","60,001","51,018","266,179",19,"49,296"
Stoneham - Stoneham Public Library,2016,"21,734","94,434","$761,221 ",25,614,10,125,316,"6,690",351,"7,429","12,652","11,152","104,172",14,"7,540"
Ludlow - Hubbard Memorial Library,2016,"21,451","103,833","$480,751 ",192,"1,007",124,"1,717",293,"5,074",609,"7,798","15,789","18,267","120,717",22,"11,648"
Sandwich - Sandwich Free Public Library,2016,"20,589","207,385","$974,581 ",67,"1,572",41,211,389,"10,732",497,"12,515","18,389","12,870",0,18,"10,608"
Gardner - Levi Heywood Memorial Library,2016,"20,354","163,598","$659,885 ",18,360,0,,179,"3,439",197,"3,799","20,913","15,494","99,237",6,"7,644"
Marblehead - Abbot Public Library,2016,"20,187","195,820","$1,059,039 ",77,"2,568",35,108,143,"2,198",255,"4,874","24,126","15,413",,17,"12,168"
Bourne - Jonathan Bourne Public Library,2016,"19,733","136,910","$619,155 ",85,"1,129",8,134,288,"5,124",381,"6,387","22,652","17,027","89,840",12,"6,708"
Hudson - Hudson Public Library,2016,"19,586","197,404","$737,711 ",124,"1,059",12,121,297,"7,552",433,"8,732","23,448","20,711","74,463",16,"26,832"
Norton - Norton Public Library,2016,"19,367","90,293","$370,800 ",140,"2,404",24,291,164,"7,129",328,"9,824","17,656","16,609","73,068",10,"6,136"
Concord - Concord Free Public Library,2016,"19,285","389,807","$2,024,562 ",169,"6,539",22,772,218,"4,466",409,"11,777","49,596","82,264","228,200",22,"20,800"
Westborough - Westborough Public Library,2016,"18,630","222,710","$1,068,429 ",183,"3,660",44,591,136,"2,802",363,"7,053","23,768","16,434","151,066",17,"10,816"
Sudbury - Goodnow Public Library,2016,"18,367","347,303","$1,087,248 ",58,937,18,614,698,"25,035",774,"26,586","45,202","61,119","170,032",28,"21,632"
Scituate - Scituate Town Library,2016,"18,297","178,586","$972,466 ",34,714,0,0,147,"6,858",181,"7,572","15,694","7,321",,6,"6,916"
Somerset - Somerset Public Library,2016,"18,290","82,813","$532,423 ",445,"6,967",116,853,265,"8,526",826,"16,346","16,219","20,544","117,155",13,"8,216"
Grafton - Grafton Public Library,2016,"18,155","145,721","$644,149 ",127,"1,288",84,942,305,"9,612",516,"11,842","23,369","12,108","82,109",8,"4,524"
Winthrop - Winthrop Public Library,2016,"18,111","72,276","$507,051 ",64,685,2,8,123,"3,663",189,"4,356","7,597","14,813","58,757",13,"3,900"
Pembroke - Pembroke Public Library,2016,"18,097","129,359","$653,540 ",124,"1,300",98,"2,134",305,"8,591",527,"12,025","20,376","27,885","109,200",11,"11,232"
Sharon - Sharon Public Library,2016,"18,027","245,823","$941,094 ",200,"2,721",122,"3,239",260,"6,847",582,"12,807","46,336","17,542","16,800",15,"23,400"
Holden - Gale Free Library,2016,"17,995","234,828","$862,000 ",105,"1,428",,,100,"6,316",205,"7,744","27,365","16,759","262,254",8,"42,328"
Newburyport - Newburyport Public Library,2016,"17,800","280,689","$1,286,383 ",252,"3,759",96,852,203,"3,979",551,"8,590","41,173","32,348","233,703",25,"25,636"
South Hadley - Gaylord Memorial Library,2016,"17,740","11,341","$31,753 ",174,842,1,2,64,"1,091",239,"1,935",527,2,"5,434",2,104
South Hadley - South Hadley Public Library,2016,"17,740","178,068","$625,827 ",174,"1,440",108,582,215,"5,056",497,"7,078","27,632","14,832",,46,"21,840"
Rockland - Rockland Memorial Library,2016,"17,632","74,879","$542,212 ",33,671,47,374,201,"4,197",281,"5,242","6,635","13,322","48,621",9,"7,540"
Greenfield - Greenfield Public Library,2016,"17,492","304,381","$684,675 ",359,"1,077",6,6,233,"6,467",598,"7,550","36,979","13,107","155,029",18,"15,444"
Foxborough - Boyden Library,2016,"17,257","171,869","$1,021,524 ",43,828,5,29,183,"4,576",231,"5,433","44,382","43,255","139,589",22,"12,688"
Ashland - Ashland Public Library,2016,"17,150","162,554","$335,149 ",72,720,14,69,142,"4,186",228,"4,975","21,125","17,842",,17,
Webster - Chester C. Corbin Public Library,2016,"16,811","36,323","$320,769 ",25,269,15,126,83,702,123,"1,097","5,008","6,369","44,621",7,"34,944"
Southbridge - Jacob Edwards Library,2016,"16,793","69,102","$495,492 ",128,"1,789",30,135,285,"5,502",443,"7,426","7,123","16,542","95,112",15,"9,308"
Bellingham - Bellingham Public Library,2016,"16,675","103,694","$548,629 ",111,834,170,"3,512",634,"22,340",915,"26,686","12,024","14,127","103,499",12,"15,912"
Amesbury - Amesbury Public Library,2016,"16,650","136,485","$788,585 ",73,815,88,683,178,"3,533",339,"5,031","23,928","23,729","101,615",9,"6,656"
Auburn - Auburn Free Public Library,2016,"16,315","161,710","$585,884 ",182,"1,168",0,,286,"4,150",468,"5,318","19,508","14,899","76,349",17,"12,012"
Abington - Abington Public Library,2016,"16,124","93,690","$468,785 ",62,"1,089",34,457,305,"6,966",401,"8,512","9,311","8,161","78,543",15,"6,812"
Northbridge - Whitinsville Social Library,2016,"16,103","73,331","$169,790 ",118,"1,139",10,73,161,"4,931",289,"6,143","7,846","10,069",,5,"4,160"
Swansea - Swansea Free Public Library,2016,"16,079","93,480","$291,441 ",185,902,80,275,240,"1,888",505,"3,065","21,646","18,698","21,288",8,"10,296"
Fairhaven - Millicent Library,2016,"16,065","91,144","$619,705 ",6,143,17,298,226,"5,226",249,"5,667","18,426","38,221",,7,"28,496"
East Longmeadow - East Longmeadow Public Library,2016,"16,022","177,297","$690,125 ",98,890,8,50,353,"10,907",459,"11,847","24,986","16,715","139,500",20,"72,800"
Easthampton - Emily Williston Memorial Library,2016,"15,971","114,559","$203,122 ",43,278,73,488,232,"4,710",348,"5,476","20,717","10,624","86,248",5,"7,696"
Hopkinton - Hopkinton Public Library,2016,"15,918","118,550","$382,554 ",35,381,4,82,113,"1,948",152,"2,411","11,725","6,529","48,464",6,"1,768"
Longmeadow - Richard Salter Storrs Library,2016,"15,882","160,326","$652,657 ",238,"3,545",17,413,533,"11,812",788,"15,770","19,729","15,898","114,837",18,"14,664"
Westport - Westport Free Public Library,2016,"15,700","67,645","$227,625 ",36,642,,,82,"1,273",118,"1,915","23,148","9,688",,7,"49,400"
North Reading - Flint Memorial Library,2016,"15,377","101,076","$497,826 ",15,800,40,185,174,"5,116",229,"6,101","14,065","21,089","43,000",14,"10,400"
Duxbury - Duxbury Free Library,2016,"15,288","212,020","$1,301,508 ",259,"3,134",136,930,383,"7,062",778,"11,126","14,857","21,461","154,614",35,"11,752"
Westwood - Westwood Public Library,2016,"14,876","237,986","$1,170,340 ",169,"1,422",30,454,455,"10,060",654,"11,936","30,802","39,306","94,030",22,"10,504"
Northborough - Northborough Free Library,2016,"14,762","171,739","$739,778 ",110,875,50,265,514,"13,323",674,"14,463","20,461","14,168","127,062",21,"13,000"
Belchertown - Clapp Memorial Library,2016,"14,735","98,704","$433,607 ",66,"1,271",51,642,437,"10,973",554,"12,886","15,483","15,461","91,873",5,"4,420"
Whitman - Whitman Public Library,2016,"14,696","88,968","$399,536 ",77,350,14,120,207,"3,679",298,"4,149","10,057","9,814","82,653",13,"11,492"
Wilbraham - Wilbraham Public Library,2016,"14,477","148,260","$695,679 ",102,"1,312",50,"1,538",116,"3,291",268,"6,141","15,347","15,548","73,538",22,"12,272"
Seekonk - Seekonk Public Library,2016,"14,366","230,967","$933,155 ",112,"1,535",11,96,390,"8,767",513,"10,398","38,161","35,895","115,360",32,"8,996"
Hanover - John Curtis Free Library,2016,"14,280","101,849","$531,400 ",27,432,37,85,259,"4,444",323,"4,961","17,125","17,125","38,037",19,"4,368"
Holliston - Holliston Public Library,2016,"14,162","181,325","$468,003 ",87,833,22,160,161,"5,015",270,"6,008","25,970","24,101","153,500",11,"15,600"
East Bridgewater - East Bridgewater Public Library,2016,"14,090","84,134","$461,354 ",34,802,16,155,340,"5,854",390,"6,811","17,758","17,016",,5,"7,540"
Mashpee - Mashpee Public Library,2016,"14,068","218,782","$571,081 ",215,846,14,209,293,"8,609",522,"9,664","25,005","19,732",,26,"21,944"
Dennis - South Dennis Free Public Library,2016,"14,067","18,979","$39,785 ",8,158,0,0,6,50,14,208,"3,893","5,560","8,237",2,"3,900"
Dennis - West Dennis Free Public Library,2016,"14,067","13,054","$44,925 ",48,476,0,0,6,100,54,576,"3,724","4,707","10,245",5,"2,600"
Dennis - Dennis Public Library,2016,"14,067","67,696","$334,565 ",132,"1,491",0,0,112,"2,400",244,"3,891","11,260","11,012","118,184",14,"11,284"
Dennis - Jacob Sears Memorial Library,2016,"14,067","40,505","$38,116 ",195,"1,850",,,,,195,"1,850","4,920","6,640","17,200",5,"4,368"
Dennis - Dennis Memorial Library Association,2016,"14,067","56,262","$85,403 ",449,"6,075",,,9,232,458,"6,307","9,052",32,"51,017",14,"9,776"
Bedford - Bedford Free Public Library,2016,"13,975","336,188","$1,138,890 ",124,"1,452",33,789,262,"10,099",419,"12,340","48,687","41,124","201,383",13,"21,112"
Swampscott - Swampscott Public Library,2016,"13,951","165,774","$755,169 ",359,"3,032",17,716,124,"2,590",500,"6,338","14,898","15,555","83,908",19,"12,324"
Oxford - Oxford Free Public Library,2016,"13,806","89,834","$440,477 ",18,216,,,195,"4,451",213,"4,667","10,431","9,511",,16,"18,512"
Clinton - Bigelow Free Public Library,2016,"13,697","38,864","$387,227 ",148,"1,030",35,85,100,"1,523",283,"2,638","3,032","5,851","39,561",11,"8,268"
Uxbridge - Uxbridge Free Public Library,2016,"13,647","77,061","$350,002 ",135,663,25,120,158,"1,838",318,"2,621","10,116","8,768","63,096",12,"2,340"
Ipswich - Ipswich Public Library,2016,"13,574","157,545","$625,003 ",27,526,23,173,328,"8,331",378,"9,030","23,506","22,477","122,971",9,"13,208"
Raynham - Raynham Public Library,2016,"13,554","101,004","$338,534 ",54,880,0,0,166,"3,190",220,"4,070","20,128","14,950","61,375",9,"5,304"
North Adams - North Adams Public Library,2016,"13,533","93,277","$305,714 ",16,375,0,0,172,"3,173",188,"3,548","13,061","11,000","63,369",13,"13,520"
Wayland - Wayland Free Public Library,2016,"13,444","226,616","$1,031,000 ",239,"2,574",10,318,257,"6,009",506,"8,901","27,190","38,117","116,653",26,"15,392"
Millbury - Millbury Public Library,2016,"13,399","55,316","$371,875 ",269,"2,694",0,0,289,"2,442",558,"5,136","7,464","8,161","26,880",6,"5,304"
Hamilton - Hamilton-Wenham Public Library,2016,"13,186","239,772","$872,860 ",429,"2,454",102,"1,484",354,"13,794",885,"17,732","31,476","38,938","118,899",25,"17,264"
Charlton - Charlton Public Library,2016,"13,175","81,628","$356,681 ",50,648,54,287,275,"5,893",379,"6,828","9,889","7,729",,23,"2,756"
Medway - Medway Public Library,2016,"13,053","98,178","$344,864 ",58,708,7,22,267,"5,791",332,"6,521","16,382","16,227","78,898",23,"5,304"
Kingston - Kingston Public Library,2016,"12,819","112,064","$631,634 ",121,"1,890",15,68,129,"2,279",265,"4,237","15,906","23,213","77,768",16,"8,840"
Lynnfield - Lynnfield Public Library,2016,"12,395","117,425","$771,470 ",46,"1,454",17,92,187,"4,534",250,"6,080","12,484","18,488","91,555",9,"24,440"
Medfield - Medfield Memorial Library,2016,"12,313","180,231","$726,082 ",33,222,101,"1,562",451,"7,073",585,"8,857","22,286","33,815","116,424",19,"10,972"
Harwich - Brooks Free Library,2016,"12,202","203,706","$886,888 ",546,"4,548",92,512,319,"7,883",957,"12,943","33,813","27,515","163,361",18,"61,620"
"Harwich - Chase Library Assoc., Inc.",2016,"12,202","5,387","$10,000 ",16,787,,,12,87,28,874,54,10,"3,510",1,572
Harwich - Harwich Port Library Association,2016,"12,202","4,984","$10,000 ",5,230,0,0,9,100,14,330,179,12,"3,591",1,364
Palmer - Palmer Public Library,2016,"12,157","127,748","$727,699 ",93,"1,010",81,685,118,"2,345",292,"4,040","15,491","21,152","78,537",43,"17,940"
Tyngsborough - Tyngsborough Public Library,2016,"12,054","78,448","$339,649 ",131,700,22,107,120,"1,712",273,"2,519","10,734","30,972","56,770",10,"5,408"
Pepperell - Lawrence Library,2016,"11,876","91,098","$442,701 ",159,"3,245",38,339,171,"3,654",368,"7,238","7,897","10,104","91,378",8,"7,540"
Weston - Weston Public Library,2016,"11,853","332,377","$1,329,728 ",548,"5,148",28,487,265,"5,437",841,"11,072","25,211","67,218","179,482",15,"8,788"
Rehoboth - Blanding Free Public Library,2016,"11,837","37,628","$215,030 ",33,800,14,97,158,"3,788",205,"4,685","12,258","15,236",,4,
Spencer - Richard Sugden Public Library,2016,"11,766","42,367","$345,036 ",30,247,28,121,173,"2,308",231,"2,676","5,030","6,754","24,540",8,"9,152"
Norfolk - Norfolk Public Library,2016,"11,689","97,461","$546,785 ",45,591,32,199,293,"5,490",370,"6,280","13,807","25,218","84,738",18,"3,276"
Athol - Athol Public Library,2016,"11,619","88,638","$482,844 ",48,"1,284",177,"1,464",251,"4,059",476,"6,807","15,786","11,188",,23,"14,768"
Dudley - Pearle L. Crawford Memorial Library,2016,"11,516","75,471","$252,414 ",93,"3,254",40,958,76,"5,678",209,"9,890","9,996","8,765","60,518",26,"12,480"
Carver - Carver Public Library,2016,"11,494","61,517","$374,454 ",37,460,40,300,280,"5,319",357,"6,079","14,865","11,164","90,000",19,"13,000"
Wrentham - Fiske Public Library,2016,"11,268","67,731","$314,417 ",73,950,0,0,280,"5,225",353,"6,175","12,574","18,184",,10,"1,300"
Leicester - Leicester Public Library,2016,"11,243","32,535","$176,964 ",8,86,0,0,91,"1,063",99,"1,149","6,668","5,956",,9,"4,680"
Lakeville - Lakeville Free Public Library,2016,"11,144","92,108","$325,469 ",255,"1,695",25,290,158,"3,297",438,"5,282","21,740","16,862",,13,"6,760"
Groton - Groton Public Library,2016,"11,115","201,502","$838,531 ",261,"2,923",132,"1,743",287,"6,123",680,"10,789","19,021","31,403","105,831",24,"6,812"
Lunenburg - Lunenburg Public Library,2016,"10,969","318,625","$375,849 ",222,478,74,383,191,"3,177",487,"4,038","11,125","10,533","68,652",23,"6,396"
Holbrook - Holbrook Public Library,2016,"10,952","48,151","$376,440 ",30,400,0,0,68,964,98,"1,364","6,147","8,116",,13,
Norwell - Norwell Public Library,2016,"10,723","120,726","$600,036 ",144,"1,541",16,182,142,"3,410",302,"5,133","8,176","18,173","67,174",14,"15,912"
Winchendon - Beals Memorial Library,2016,"10,542","40,014","$168,556 ",60,527,0,0,112,468,172,995,"7,432","6,210",,9,"2,808"
Nantucket - Nantucket Atheneum,2016,"10,399","109,789","$693,439 ",576,"15,183",86,735,460,"10,587","1,122","26,505","15,684","16,546","171,358",36,"9,204"
Maynard - Maynard Public Library,2016,"10,370","118,341","$484,343 ",63,"1,575",22,99,207,"3,540",292,"5,214","22,312","24,800",,18,"12,168"
Acushnet - Russell Memorial Library,2016,"10,350","47,754","$215,236 ",43,332,20,87,42,"1,114",105,"1,533","10,791","12,799","14,625",5,"2,600"
Hull - Hull Public Library,2016,"10,332","41,847","$300,876 ",33,798,0,0,22,298,55,"1,096","4,435","3,600","46,902",7,"26,156"
Hanson - Hanson Public Library,2016,"10,324","60,407","$380,988 ",39,"1,269",37,331,192,"1,564",268,"3,164","10,319","15,024","4,644",10,"4,368"
Southborough - Southborough Public Library,2016,"9,896","151,090","$450,886 ",92,"1,629",8,80,238,"9,926",338,"11,635","14,881","16,969","66,180",5,"2,080"
Ware - Young Men's Library Association,2016,"9,844","41,135","$181,490 ",6,37,0,0,67,908,73,945,"4,970","5,383","20,569",5,"2,912"
Brewster - Brewster Ladies' Library,2016,"9,754","157,551","$551,641 ",212,"5,067",16,174,112,"3,320",340,"8,561","20,827","24,481","125,346",17,"62,868"
Southwick - Southwick Public Library,2016,"9,634","45,190","$381,797 ",42,721,47,410,103,"2,632",192,"3,763","2,691","11,004","44,633",7,"1,872"
Middleton - Flint Public Library,2016,"9,419","70,446","$472,350 ",211,"2,836",33,92,179,"5,662",423,"8,590","14,374","19,410","55,089",17,"6,240"
Sturbridge - Joshua Hyde Public Library,2016,"9,407","100,776","$470,653 ",32,347,4,33,170,"2,619",206,"2,999","12,502","14,286","145,760",9,"4,784"
Littleton - Reuben Hoar Library,2016,"9,246","154,991","$535,241 ",167,"1,660",83,360,232,"5,674",482,"7,694","26,388","31,981","55,457",13,"4,992"
Townsend - Townsend Public Library,2016,"9,194","120,709","$244,272 ",145,"2,228",16,127,248,"5,180",409,"7,535","13,103","14,831","122,587",40,"16,900"
Sutton - Sutton Free Public Library,2016,"9,133","64,529","$190,905 ",79,394,34,212,171,"2,012",284,"2,618","7,512","10,123","65,000",3,"6,500"
Blackstone - Blackstone Free Public Library,2016,"9,079","74,132","$402,324 ",34,667,8,93,225,"2,134",267,"2,894","8,204","12,181","51,923",16,"4,160"
Freetown - James White Memorial Library,2016,"9,035","9,427","$118,981 ",1,8,1,4,19,51,21,63,"4,875","9,146","6,924",8,"1,144"
Plainville - Plainville Public Library,2016,"8,825","68,712","$213,610 ",43,549,0,0,203,"4,124",246,"4,673","13,554","17,553",,5,"1,664"
Monson - Monson Free Library & Reading Room,2016,"8,722","48,541","$264,984 ",64,607,29,159,164,"2,689",257,"3,455","7,565","8,740","39,312",5,"3,120"
Douglas - Simon Fairfield Public Library,2016,"8,624","42,129","$211,312 ",11,101,12,99,178,"2,057",201,"2,257","7,079","10,028",,4,
Salisbury - Salisbury Public Library,2016,"8,580","41,723","$364,065 ",107,"1,501",2,5,60,"1,292",169,"2,798","6,340","8,072",,18,"4,732"
Georgetown - Peabody Library,2016,"8,468","64,567","$322,178 ",30,302,35,195,180,"2,719",245,"3,216","10,828","21,577","36,959",20,"2,340"
Montague - Montague Public Libraries,2016,"8,377","112,149","$351,149 ",93,390,0,0,190,"5,436",283,"5,826","19,828","14,315","51,175",8,"7,540"
Adams - Adams Free Library,2016,"8,332","38,622","$307,790 ",25,732,,,53,"1,418",78,"2,150","5,362","4,768","33,621",8,"2,704"
Cohasset - Paul Pratt Memorial Library,2016,"8,273","158,433","$592,968 ",66,"1,391",48,876,216,"10,632",330,"12,899","9,679","9,087","142,936",32,"11,648"
